ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid
IDje07H,22/1/2017 12:24,3380688,706148,47327,92640312,b,Edge,Tablet
IDe57kv,21/1/2017 11:10,8874892,208277,48498,555603,b,Mozilla,Desktop
IDuxBco,21/1/2017 9:37,5772870,253483,48498,55358028,a,Firefox,Mobile
ID57m0s,21/1/2017 16:41,6251804,970444,87732,78406516,b,Firefox,Mobile
IDK1btR,21/1/2017 16:15,5604912,786651,25491,7181598,b,Edge,Tablet
ID6WUGb,21/1/2017 11:25,483031,103356,57860,4377339,a,Firefox,Mobile
ID7LsTv,22/1/2017 12:51,4028315,189064,81229,95302954,b,Firefox,Mobile
IDt2v3a,21/1/2017 16:05,6198674,843714,98552,51854755,a,Edge,Tablet
IDGTfW7,23/1/2017 23:02,22361,1770,41640,58604466,c,InternetExplorer,Desktop
IDZfdJx,23/1/2017 7:48,4262338,337466,41706,4000296,a,Firefox,Mobile
IDeypa9,21/1/2017 7:00,6452791,139106,64452,65017662,d,Firefox,Mobile
IDfhHEp,21/1/2017 22:28,3696590,488329,5194,74868704,b,Safari,Tablet
IDqShP0,23/1/2017 6:07,2395165,506103,96313,17488931,a,Mozilla Firefox,Desktop
IDilX7P,23/1/2017 19:07,5165523,459561,48430,39772159,c,InternetExplorer,Desktop
IDs8PK4,23/1/2017 23:37,2951183,820277,904,74868704,a,Edge,Tablet
IDnjglJ,21/1/2017 13:49,1023275,239926,20322,51545768,a,Firefox,Mobile
IDQpiN3,21/1/2017 8:33,802917,434638,98552,17990842,b,Mozilla,Desktop
IDWNZxa,21/1/2017 13:19,3551625,735215,33287,43770446,a,Google Chrome,Mobile
IDZa5zj,22/1/2017 16:08,9708233,131379,11837,89663643,a,Edge,Tablet
IDQ5mwZ,21/1/2017 14:48,5921470,732816,71531,15961717,b,Edge,Tablet
IDF8QAM,23/1/2017 10:14,4588957,502491,71531,79906734,b,Firefox,Mobile
IDSHuAw,23/1/2017 19:12,6791814,641127,41640,37135965,b,Firefox,Mobile
IDdgADg,21/1/2017 3:10,8532906,507498,42227,21153737,c,Firefox,Mobile
IDZ4B7T,21/1/2017 13:56,4121780,460124,8675,79906734,b,IE,Mobile
IDiNGgm,21/1/2017 13:42,5977473,782051,24888,9556126,b,Edge,Tablet
IDW4hwP,23/1/2017 9:32,4432342,569564,82396,15961717,b,Firefox,Mobile
IDAKew6,21/1/2017 15:13,5875528,850782,33949,72749645,f,Edge,Tablet
IDlBDt7,21/1/2017 15:33,4109143,417115,34670,1569330,b,Firefox,Mobile
ID3VUNj,21/1/2017 10:34,527419,832843,40339,37135965,b,Internet Explorer,Tablet
ID1651N,23/1/2017 16:35,5297067,1770,41640,58604466,c,InternetExplorer,Desktop
IDwa9T3,21/1/2017 11:07,8358802,971561,34670,41475976,a,Edge,Tablet
IDeJxMs,23/1/2017 22:53,5792670,39940,41640,27723861,a,,Mobile
IDuI7pf,21/1/2017 4:16,1817470,598986,15912,43526789,b,Edge,Tablet
IDMbmG6,21/1/2017 13:08,5463947,945154,42227,49384126,a,Mozilla Firefox,Desktop
IDGmxue,21/1/2017 16:30,2954896,177001,98552,16150900,e,Edge,Tablet
IDrw3dN,23/1/2017 19:25,4756509,451159,31365,99684291,b,Firefox,Mobile
IDQAqq6,22/1/2017 7:45,9816743,622848,904,94350426,f,Internet Explorer,Tablet
ID9i5Pg,22/1/2017 9:15,4488235,223511,97863,87807327,e,Firefox,Mobile
IDrSmpM,21/1/2017 10:46,6064886,792729,43897,48626108,b,Firefox,Mobile
IDwy0P5,21/1/2017 13:00,5257625,113591,54916,87903766,b,Edge,Tablet
IDcYVKW,21/1/2017 10:35,9570465,532309,70191,40325509,b,Edge,Tablet
IDf8cWP,22/1/2017 10:26,3198051,109612,40339,43452411,b,Mozilla,Desktop
IDXziJ6,21/1/2017 11:35,4523164,126586,1678,40193354,b,,Desktop
IDtIzll,21/1/2017 10:43,9835131,455263,48498,13742268,b,Mozilla,Desktop
ID6QLNZ,23/1/2017 10:20,6128439,79475,48430,55420443,b,Firefox,Mobile
IDoqVgQ,21/1/2017 12:29,4930388,258557,15912,55358028,f,Firefox,Mobile
IDTwVEK,21/1/2017 12:48,2334083,529234,54916,7864011,b,Firefox,Mobile
IDRPuQl,21/1/2017 11:39,4815961,526938,82396,45446370,b,Edge,Tablet
IDVHaiX,22/1/2017 15:44,6592011,291200,6436,22435216,e,Edge,Tablet
IDNyfcz,23/1/2017 19:47,5208998,39940,41640,27723861,b,Firefox,Mobile
ID13YM2,23/1/2017 8:47,4231301,691470,70409,47941469,b,InternetExplorer,Desktop
IDdfdUh,21/1/2017 11:08,1171861,960604,54916,62201833,b,Firefox,Mobile
IDl0pIy,22/1/2017 13:21,5721837,595506,40339,30860214,b,Firefox,Mobile
IDAY5zP,21/1/2017 16:41,6498454,359342,26966,49554217,b,Edge,Tablet
IDCaQqd,21/1/2017 10:28,6603135,635669,835,51637733,a,Google Chrome,Mobile
ID0QDZW,21/1/2017 14:41,1124620,481292,41640,74868704,a,IE,Mobile
ID9aewi,21/1/2017 6:38,7574977,998163,9764,30860214,d,Firefox,Mobile
IDSRT0F,21/1/2017 14:30,6581158,790527,43897,69514806,b,Firefox,Mobile
IDi2WNK,21/1/2017 10:25,1267849,202535,73248,61940782,b,InternetExplorer,Desktop
IDFlNko,21/1/2017 8:48,241909,973317,6747,30677837,b,,Tablet
IDmNf1Z,23/1/2017 16:52,6791814,342843,41640,43526789,a,,Desktop
IDVFBIr,22/1/2017 10:31,2107515,271269,40339,49384126,e,Mozilla Firefox,Desktop
IDJiJwq,21/1/2017 16:20,255103,248287,47327,92640312,a,Firefox,Mobile
IDyIRTY,23/1/2017 11:09,9822669,151006,68847,17670416,d,Firefox,Mobile
IDofz01,22/1/2017 12:33,3513350,87411,95113,65017662,b,Mozilla,Desktop
IDdi9rZ,23/1/2017 22:17,483348,242089,904,33247409,f,Safari,Tablet
IDhbQQq,21/1/2017 15:54,7602128,154555,3643,80963339,a,Firefox,Mobile
IDetYHd,22/1/2017 16:27,3571010,394564,97863,3156697,b,Firefox,Mobile
IDQb41f,22/1/2017 8:57,1309786,818712,25491,25354302,b,IE,Mobile
IDDmjBg,22/1/2017 13:09,6885016,526375,98552,9556126,a,Internet Explorer,Tablet
IDEowTn,21/1/2017 11:22,4402682,9428,40339,7122654,b,Chrome,Desktop
ID5Y1yJ,21/1/2017 10:38,9554909,883466,40339,43452411,b,Mozilla,Desktop
ID3lsni,21/1/2017 16:29,4762761,614178,6906,99510044,a,,Mobile
ID7QzG4,21/1/2017 21:27,87864,892696,904,40325509,b,Google Chrome,Mobile
IDSkzxl,23/1/2017 10:24,5370478,259413,84974,74699062,b,Mozilla,Desktop
ID8UgWI,22/1/2017 14:22,8010817,631376,1678,76522512,b,Internet Explorer,Tablet
IDHWOxB,21/1/2017 11:48,5423903,386834,12211,55358028,b,,Mobile
IDJQ7lU,21/1/2017 12:06,4256992,207977,23576,17990842,a,Google Chrome,Mobile
IDIsZX0,21/1/2017 16:35,5299372,819682,73248,83960204,a,Edge,Tablet
IDHU1nE,22/1/2017 12:20,2480790,784883,10345,33683592,b,InternetExplorer,Desktop
IDS5tlZ,23/1/2017 7:32,7964202,871738,6906,99510044,b,IE,Mobile
ID816IR,22/1/2017 9:57,8818742,527811,73362,26461535,f,Edge,Tablet
IDc1NPz,23/1/2017 21:28,6796638,641127,41640,37135965,b,IE,Mobile
IDDKAXQ,23/1/2017 17:57,616557,1770,41640,58604466,c,Firefox,Mobile
IDqBojM,21/1/2017 2:37,8962274,442657,6906,99510044,e,Edge,Tablet
ID9069M,22/1/2017 14:19,555542,631376,1678,76522512,b,Firefox,Mobile
IDaLRIn,21/1/2017 11:28,8381006,685475,25491,15961717,b,Edge,Tablet
IDQOzUM,21/1/2017 9:41,1348470,438592,6906,99510044,e,Firefox,Mobile
IDWBoAn,21/1/2017 13:28,1151930,901335,48498,55358028,b,InternetExplorer,Desktop
IDRhvWp,21/1/2017 13:40,3540364,152839,57860,23588197,b,Internet Explorer,Tablet
IDiFVcW,21/1/2017 13:22,1903486,295872,41706,40325509,b,Google Chrome,Mobile
IDj59TQ,21/1/2017 9:23,2591924,373644,45620,54630329,b,Mozilla Firefox,Desktop
IDa8kl3,22/1/2017 4:31,8871246,226591,80554,40325509,b,Firefox,Mobile
IDKE6j7,21/1/2017 15:44,5098801,363252,34670,1569330,e,Edge,Tablet
IDzjnIe,23/1/2017 17:04,8837141,242089,904,33247409,b,IE,Mobile
IDTM7yX,22/1/2017 16:46,9697691,601495,49810,54526992,e,,Tablet
IDmEwS5,21/1/2017 14:37,9574705,866176,14345,555603,c,InternetExplorer,Desktop
IDZxtPe,21/1/2017 10:45,3559858,720790,54916,87903766,b,Mozilla Firefox,Desktop
IDFL6fM,21/1/2017 15:19,6527488,708652,98552,17990842,a,Edge,Tablet
IDa6Wk7,21/1/2017 15:07,4207034,306209,81229,98166279,a,Mozilla,Desktop
ID82EZ5,21/1/2017 13:47,2153675,266530,11837,56546102,a,Firefox,Mobile
ID97OMB,21/1/2017 14:02,6951266,614542,42227,55358028,b,Edge,Tablet
IDj2Wyo,23/1/2017 22:23,5739383,626740,41640,26391770,a,Firefox,Mobile
ID265xy,21/1/2017 11:38,5857660,574115,31195,38492160,d,Edge,Tablet
IDTF22E,23/1/2017 21:45,8042356,431184,904,74868704,c,InternetExplorer,Desktop
IDm6SnT,21/1/2017 16:15,3435655,122763,82396,17990842,b,Firefox,Mobile
IDyKnly,22/1/2017 16:21,7929458,298325,25321,40325509,a,Firefox,Mobile
IDmqZqG,23/1/2017 20:01,2843107,805175,83717,54794527,a,Edge,Tablet
IDJt2TF,23/1/2017 18:15,3737591,242089,904,33247409,f,Google Chrome,Mobile
IDOiWCJ,21/1/2017 8:08,6649228,480453,40050,79906734,b,Mozilla Firefox,Desktop
ID5Y8g7,21/1/2017 15:35,3714714,751548,15912,30860214,b,Mozilla Firefox,Desktop
IDJJoYx,21/1/2017 15:50,5213066,774501,42227,95013373,e,Firefox,Mobile
IDMNldD,23/1/2017 18:34,8064338,641127,41640,37135965,b,Edge,Tablet
IDrrJf7,22/1/2017 14:20,4646989,605888,21407,9434818,d,Safari,Tablet
IDRwHJb,21/1/2017 11:20,7872455,570659,40050,78406516,d,Chrome,Desktop
IDAkfLR,22/1/2017 15:24,2573390,740355,5602,72451969,b,Chrome,Desktop
IDEn3sB,23/1/2017 7:02,3316517,178775,17714,2050923,f,IE,Mobile
IDdQV1J,23/1/2017 17:28,2295471,228375,48430,39772159,c,Mozilla,Desktop
IDsuYB2,23/1/2017 8:53,7555965,86601,9764,99558603,e,InternetExplorer,Desktop
IDnYqqu,22/1/2017 12:35,4432342,667100,93286,27723861,b,Firefox,Mobile
IDcZ47E,21/1/2017 10:03,718740,241985,904,58604466,b,Safari,Tablet
IDnNPZN,22/1/2017 16:48,7860305,834680,45620,31388981,b,Edge,Tablet
IDLo5I2,21/1/2017 15:21,6279614,613900,48498,30860214,b,IE,Mobile
IDLpAQb,21/1/2017 14:23,5234196,120966,3643,79906734,a,Firefox,Mobile
IDCLqwK,23/1/2017 23:43,8337085,228375,48430,39772159,d,Opera,Mobile
IDqAIyP,23/1/2017 21:04,4868532,844148,904,94350426,a,InternetExplorer,Desktop
ID6ndnt,22/1/2017 6:33,2011575,151109,72276,45646134,f,Firefox,Mobile
IDvvO16,22/1/2017 16:42,690958,378680,84974,17488931,b,,Mobile
ID6z4Ho,21/1/2017 17:21,3696590,648003,76239,72161006,b,Edge,Tablet
IDRpmaR,23/1/2017 17:11,5297067,242089,904,33247409,c,Mozilla,Desktop
IDM1b4B,22/1/2017 12:41,141740,977549,54125,40325509,b,Edge,Tablet
IDfWKkP,21/1/2017 14:41,469828,824987,97863,33505809,a,Edge,Tablet
IDzHMTI,22/1/2017 11:09,1485427,216234,98552,16150900,b,Firefox,Mobile
IDzN2FU,22/1/2017 15:30,1358320,729558,5602,80653536,c,Firefox,Mobile
IDO2EKD,22/1/2017 10:54,8427568,346814,9764,37135965,f,Edge,Tablet
IDJ9mNN,21/1/2017 12:04,7162885,158799,6906,99510044,a,Edge,Tablet
IDpHrr0,22/1/2017 8:55,2620433,932336,92902,79906734,a,Opera,Mobile
ID7ksUP,23/1/2017 22:55,3262971,864059,41640,48626108,b,Mozilla Firefox,Desktop
IDwbDdP,22/1/2017 13:38,8759268,710307,40339,43452411,b,Firefox,Mobile
ID99KTI,21/1/2017 14:48,3656189,407571,33638,13789995,b,Edge,Tablet
IDXp9UE,22/1/2017 13:03,122976,64294,8467,7864011,b,Mozilla,Desktop
IDiP6Zm,21/1/2017 15:50,5164158,271398,92704,93157824,a,Mozilla,Desktop
ID4N2Ow,23/1/2017 14:46,79871,614158,97103,82365062,b,IE,Mobile
IDFvIeh,21/1/2017 10:41,850015,919091,81229,35819606,b,Firefox,Mobile
ID29gkj,22/1/2017 11:34,3995925,578582,50088,30860214,f,Firefox,Mobile
IDYWEIZ,22/1/2017 9:26,7083758,638503,40339,37135965,d,Chrome,Desktop
IDAbSDj,21/1/2017 11:05,5742745,989980,68575,7122654,e,Google Chrome,Mobile
IDfRmeA,23/1/2017 15:24,2203994,168025,17714,74868704,a,Edge,Tablet
IDQIrxA,23/1/2017 19:38,7277541,641127,41640,37135965,b,InternetExplorer,Desktop
IDnTxLH,23/1/2017 19:59,774772,1770,41640,58604466,d,Mozilla,Desktop
IDZu2oj,22/1/2017 14:13,7696330,924372,26849,18243870,e,Mozilla Firefox,Desktop
IDeRVvi,23/1/2017 10:17,754046,64672,20322,30860214,a,Firefox,Mobile
IDi06al,23/1/2017 9:50,3246362,140397,74263,2050923,a,Mozilla Firefox,Desktop
IDXNluU,23/1/2017 8:13,2376930,455659,34670,87807327,b,Firefox,Mobile
IDteAFj,22/1/2017 12:44,8933177,456606,74263,72297026,a,Google Chrome,Mobile
IDMqN2A,23/1/2017 9:13,9470397,226647,41640,74868704,e,InternetExplorer,Desktop
IDlFswO,22/1/2017 16:18,5690111,473072,45287,40325509,b,Edge,Tablet
IDKi0Uj,22/1/2017 12:31,4050494,694007,2053,44210205,a,InternetExplorer,Desktop
ID89uid,21/1/2017 13:25,9701318,109069,904,94350426,f,Edge,Tablet
ID2D3S0,22/1/2017 12:07,8991798,163549,48498,55358028,e,Mozilla,Desktop
IDitpgp,22/1/2017 7:24,2700112,51382,14345,555603,b,,Tablet
ID2iMhU,21/1/2017 16:19,1842208,840836,93286,87807327,d,Edge,Tablet
IDa4rAn,23/1/2017 16:08,9776328,342843,41640,43526789,b,Mozilla,Desktop
IDMp2qv,21/1/2017 11:47,890709,683700,48430,39772159,f,Edge,Tablet
IDCSRV6,23/1/2017 17:23,8080505,431184,904,74868704,a,Google Chrome,Mobile
IDF2WXp,22/1/2017 9:22,8410497,1851,11837,90276693,b,Mozilla,Desktop
IDmsAG7,21/1/2017 10:54,169042,133264,20665,27723861,b,Mozilla,Desktop
IDNqlmd,22/1/2017 13:59,7082850,625941,12211,87903766,a,,Desktop
IDNLZVO,21/1/2017 11:12,5246346,11791,92902,555603,b,,Tablet
ID5BYQ0,23/1/2017 10:31,8694747,369601,65251,57977218,a,Edge,Tablet
IDAAFX0,23/1/2017 20:49,8940054,864059,41640,48626108,f,IE,Mobile
IDwE09N,22/1/2017 20:38,6519474,542220,904,26391770,c,Firefox,Mobile
ID9vt6S,23/1/2017 19:59,3720878,242089,904,33247409,e,Firefox,Mobile
IDXDYiR,23/1/2017 8:03,1212387,649310,40339,71040875,e,Chrome,Desktop
IDJv2PT,21/1/2017 9:50,7421970,353882,73248,61940782,d,Firefox,Mobile
ID4IXF5,21/1/2017 16:12,5595904,342846,49810,39603421,b,Edge,Tablet
IDL31pw,21/1/2017 16:41,5405998,109612,40339,43452411,f,Firefox,Mobile
IDacy3A,21/1/2017 12:37,7770211,276329,82129,54630329,f,Google Chrome,Mobile
IDdg2Oj,21/1/2017 13:41,380061,810161,89522,54526992,e,Firefox,Mobile
IDRhlJQ,22/1/2017 16:05,712159,273124,13412,77318092,a,Firefox,Mobile
IDYfJyi,22/1/2017 14:29,2291957,924226,54343,91873245,b,InternetExplorer,Desktop
IDnzp3u,23/1/2017 18:12,7794526,844148,904,94350426,d,Edge,Tablet
IDGX1B2,22/1/2017 8:30,679583,661586,80554,57977218,f,Edge,Tablet
IDVaOwk,21/1/2017 14:11,119582,778400,30580,67147700,a,Google Chrome,Mobile
IDPHH1W,22/1/2017 10:23,5139583,129274,54916,72089744,e,Firefox,Mobile
IDSeFJI,22/1/2017 14:51,7522296,710307,40339,43452411,b,Mozilla Firefox,Desktop
IDrlMI2,21/1/2017 9:48,8380316,772294,25491,79474990,e,Firefox,Mobile
ID3NCZI,21/1/2017 13:12,4625637,275405,12211,8730209,b,Edge,Tablet
IDd0lmj,21/1/2017 15:20,3663237,28456,41706,4000296,a,Edge,Tablet
IDgW8bZ,21/1/2017 9:52,3184239,348479,98552,17990842,a,Edge,Tablet
IDDg4Y1,23/1/2017 10:07,4957615,642610,84987,79474990,a,Mozilla Firefox,Desktop
IDlmEEJ,22/1/2017 16:03,6616945,469903,36768,37150479,e,,Desktop
IDHYclz,22/1/2017 13:26,1621533,294759,8467,15961717,f,Chrome,Desktop
IDkiu3d,21/1/2017 6:54,6306927,49449,54343,3402198,a,Edge,Tablet
IDP45LR,22/1/2017 17:24,8509787,700878,17714,61682792,f,Firefox,Mobile
ID45bFX,21/1/2017 8:24,3696590,985050,28971,56525667,a,Internet Explorer,Tablet
IDkSXYC,22/1/2017 13:57,1719914,231042,82877,38492160,c,Safari,Tablet
IDidt6R,22/1/2017 12:23,8065928,959646,12211,54526992,d,Firefox,Mobile
IDQ30VW,21/1/2017 10:07,4980620,989026,6906,99510044,b,Edge,Tablet
IDjb7cG,23/1/2017 20:54,6753257,242089,904,33247409,b,Firefox,Mobile
IDlV7CB,21/1/2017 12:47,303862,910070,904,40325509,a,Firefox,Mobile
IDDQ4dH,22/1/2017 15:43,7349173,49449,54343,3402198,e,Mozilla,Desktop
ID35Tku,23/1/2017 18:44,7340695,242089,904,33247409,b,Firefox,Mobile
IDNNKeU,22/1/2017 8:45,5429894,497392,84987,15961717,c,Firefox,Mobile
IDC6aKr,22/1/2017 16:43,1660987,937988,40339,13742268,b,Firefox,Mobile
ID65FLj,22/1/2017 10:05,7049811,333801,34489,61940782,a,,Desktop
IDK5Wsu,23/1/2017 20:46,7459398,864059,41640,48626108,e,Mozilla,Desktop
ID7kd1w,22/1/2017 9:00,6310649,863751,89522,27578501,c,Firefox,Mobile
IDKbsiu,21/1/2017 14:09,3696590,307639,73248,50706198,b,Firefox,Mobile
IDSWlAi,21/1/2017 14:30,9027590,106985,26962,77896159,b,Edge,Tablet
IDtZQlW,22/1/2017 14:30,7518760,686216,12211,58163546,b,Firefox,Mobile
IDx7Bwb,21/1/2017 15:51,6264747,564229,40339,43452411,b,Chrome,Desktop
IDmYs1O,22/1/2017 11:43,3021763,830557,46450,74868704,d,Google Chrome,Mobile
IDrV4l2,21/1/2017 12:02,8721211,997926,82877,54692138,e,Firefox,Mobile
IDQjq0D,23/1/2017 10:12,3055701,730683,92902,79906734,a,,Mobile
IDn32KA,23/1/2017 21:48,7124471,39940,41640,27723861,c,Edge,Tablet
IDqOYMu,21/1/2017 10:37,4865296,409783,22023,72749645,a,Mozilla,Desktop
IDOUgK1,22/1/2017 7:41,755115,556848,82877,38492160,a,Safari,Tablet
ID8yMmJ,22/1/2017 8:42,5901842,897430,68847,11108754,a,Edge,Tablet
IDTDHwj,21/1/2017 10:20,8887348,400894,45620,31388981,f,Edge,Tablet
IDJN9fK,21/1/2017 16:19,1095782,744813,84974,17488931,e,Mozilla,Desktop
IDXm1B3,23/1/2017 23:07,7025999,160161,41640,83172146,e,Mozilla Firefox,Desktop
IDn2BnY,22/1/2017 10:20,78883,646874,42227,55358028,a,Mozilla Firefox,Desktop
IDXi9Xh,22/1/2017 16:45,9048509,275728,8414,78365183,b,Firefox,Mobile
IDDsjv3,21/1/2017 10:52,6603135,437679,34670,87807327,a,,Desktop
IDEkQIQ,21/1/2017 10:24,7736033,131354,6906,99510044,f,Chrome,Desktop
IDSGgUw,23/1/2017 16:32,2214617,641127,41640,37135965,a,Edge,Tablet
ID0DySv,23/1/2017 9:36,5866913,809028,84987,74868704,a,Internet Explorer,Tablet
ID6y3UH,21/1/2017 6:37,4863685,49229,84228,74868704,e,Edge,Tablet
IDmIaUt,23/1/2017 19:17,8799526,242089,904,33247409,a,IE,Mobile
IDNJc37,22/1/2017 7:25,932179,752002,67817,17687647,b,Edge,Tablet
IDhRs7x,23/1/2017 2:24,4366166,138677,33949,72749645,b,Firefox,Mobile
ID1zlbh,23/1/2017 9:43,8067155,942713,41706,16943535,e,Chrome,Desktop
IDYPVTp,22/1/2017 11:15,3870351,509913,93286,46997962,a,,Desktop
